2023-06-20 10:57:24,772 INFO    Thread-12 (_run_job):12008 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-20 10:57:24,773 INFO    Thread-12 (_run_job):12008 [wandb_setup.py:_flush():76] Configure stats pid to 12008
2023-06-20 10:57:24,773 INFO    Thread-12 (_run_job):12008 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-06-20 10:57:24,773 INFO    Thread-12 (_run_job):12008 [wandb_setup.py:_flush():76] Loading settings from /content/openset_domain_adaptation/wandb/settings
2023-06-20 10:57:24,773 INFO    Thread-12 (_run_job):12008 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***', 'entity': 'sango', 'project': 'openset_domain_adaptation', 'root_dir': '/content/openset_domain_adaptation', 'sweep_id': 'vy7obdpf', 'run_id': '6pucf2wb', 'sweep_param_path': '/content/openset_domain_adaptation/wandb/sweep-vy7obdpf/config-6pucf2wb.yaml'}
2023-06-20 10:57:24,773 INFO    Thread-12 (_run_job):12008 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-20 10:57:24,773 INFO    Thread-12 (_run_job):12008 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-06-20 10:57:24,773 INFO    Thread-12 (_run_job):12008 [wandb_init.py:_log_setup():507] Logging user logs to /content/openset_domain_adaptation/wandb/run-20230620_105724-6pucf2wb/logs/debug.log
2023-06-20 10:57:24,773 INFO    Thread-12 (_run_job):12008 [wandb_init.py:_log_setup():508] Logging internal logs to /content/openset_domain_adaptation/wandb/run-20230620_105724-6pucf2wb/logs/debug-internal.log
2023-06-20 10:57:24,773 INFO    Thread-12 (_run_job):12008 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f5d7a464970>
2023-06-20 10:57:24,773 INFO    Thread-12 (_run_job):12008 [wandb_init.py:init():547] calling init triggers
2023-06-20 10:57:24,774 INFO    Thread-12 (_run_job):12008 [wandb_init.py:init():554] wandb.init called with sweep_config: {'entropy': 0.1, 'seed': 42}
config: {}
2023-06-20 10:57:24,774 INFO    Thread-12 (_run_job):12008 [wandb_init.py:init():596] starting backend
2023-06-20 10:57:24,774 INFO    Thread-12 (_run_job):12008 [wandb_init.py:init():600] setting up manager
2023-06-20 10:57:24,783 INFO    Thread-12 (_run_job):12008 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-20 10:57:24,789 INFO    Thread-12 (_run_job):12008 [wandb_init.py:init():606] backend started and connected
2023-06-20 10:57:24,818 INFO    Thread-12 (_run_job):12008 [wandb_run.py:_config_callback():1283] config_cb None None {'entropy': 0.1, 'seed': 42}
2023-06-20 10:57:24,821 INFO    Thread-12 (_run_job):12008 [wandb_run.py:_label_probe_notebook():1235] probe notebook
2023-06-20 10:57:26,057 INFO    Thread-12 (_run_job):12008 [wandb_init.py:init():703] updated telemetry
2023-06-20 10:57:26,063 INFO    Thread-12 (_run_job):12008 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-20 10:57:26,252 INFO    Thread-12 (_run_job):12008 [wandb_run.py:_on_init():2176] communicating current version
2023-06-20 10:57:26,329 INFO    Thread-12 (_run_job):12008 [wandb_run.py:_on_init():2185] got version response 
2023-06-20 10:57:26,329 INFO    Thread-12 (_run_job):12008 [wandb_init.py:init():787] starting run threads in backend
2023-06-20 10:57:26,449 INFO    Thread-12 (_run_job):12008 [wandb_run.py:_console_start():2155] atexit reg
2023-06-20 10:57:26,449 INFO    Thread-12 (_run_job):12008 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-06-20 10:57:26,450 INFO    Thread-12 (_run_job):12008 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-20 10:57:26,450 INFO    Thread-12 (_run_job):12008 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-20 10:57:26,452 INFO    Thread-12 (_run_job):12008 [wandb_init.py:init():828] run started, returning control to user process
