2023-06-20 12:28:18,857 INFO    Thread-21 (_run_job):1081 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_setup.py:_flush():76] Configure stats pid to 1081
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_setup.py:_flush():76] Loading settings from /content/openset_domain_adaptation/wandb/settings
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***', 'entity': 'sango', 'project': 'openset_domain_adaptation', 'root_dir': '/content/openset_domain_adaptation', 'run_id': 'dbqfhdid', 'sweep_param_path': '/content/openset_domain_adaptation/wandb/sweep-iwqk8imm/config-dbqfhdid.yaml', 'sweep_id': 'iwqk8imm'}
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_init.py:_log_setup():507] Logging user logs to /content/openset_domain_adaptation/wandb/run-20230620_122818-dbqfhdid/logs/debug.log
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_init.py:_log_setup():508] Logging internal logs to /content/openset_domain_adaptation/wandb/run-20230620_122818-dbqfhdid/logs/debug-internal.log
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f44b01568f0>
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_init.py:init():547] calling init triggers
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_init.py:init():554] wandb.init called with sweep_config: {'entropy': 0.30000000000000004, 'seed': 42}
config: {}
2023-06-20 12:28:18,858 INFO    Thread-21 (_run_job):1081 [wandb_init.py:init():596] starting backend
2023-06-20 12:28:18,859 INFO    Thread-21 (_run_job):1081 [wandb_init.py:init():600] setting up manager
2023-06-20 12:28:18,868 INFO    Thread-21 (_run_job):1081 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-20 12:28:18,874 INFO    Thread-21 (_run_job):1081 [wandb_init.py:init():606] backend started and connected
2023-06-20 12:28:18,892 INFO    Thread-21 (_run_job):1081 [wandb_run.py:_config_callback():1283] config_cb None None {'entropy': 0.30000000000000004, 'seed': 42}
2023-06-20 12:28:18,895 INFO    Thread-21 (_run_job):1081 [wandb_run.py:_label_probe_notebook():1235] probe notebook
2023-06-20 12:28:21,262 INFO    Thread-21 (_run_job):1081 [wandb_init.py:init():703] updated telemetry
2023-06-20 12:28:21,267 INFO    Thread-21 (_run_job):1081 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-20 12:28:21,607 INFO    Thread-21 (_run_job):1081 [wandb_run.py:_on_init():2176] communicating current version
2023-06-20 12:28:21,654 INFO    Thread-21 (_run_job):1081 [wandb_run.py:_on_init():2185] got version response 
2023-06-20 12:28:21,654 INFO    Thread-21 (_run_job):1081 [wandb_init.py:init():787] starting run threads in backend
2023-06-20 12:28:21,733 INFO    Thread-21 (_run_job):1081 [wandb_run.py:_console_start():2155] atexit reg
2023-06-20 12:28:21,734 INFO    Thread-21 (_run_job):1081 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-06-20 12:28:21,734 INFO    Thread-21 (_run_job):1081 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-20 12:28:21,734 INFO    Thread-21 (_run_job):1081 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-20 12:28:21,735 INFO    Thread-21 (_run_job):1081 [wandb_init.py:init():828] run started, returning control to user process
